compliantid,policyid,transactionref,description,status,datetime
COM-1,PLY-1,TXN-COM-1,Change of mailing address,rejected,2017-03-03
COM-2,PLY-1,TXN-COM-2,Portal stuck in middle,rejected,2016-07-08
COM-3,PLY-1,TXN-COM-3,Renewal intimation letter not received,resolved,2018-08-30
COM-4,PLY-1,TXN-COM-4,Change of mailing address,resolved,2018-03-08
COM-5,PLY-1,TXN-COM-5,Portal stuck in middle,resolved,2015-10-23
COM-6,PLY-2,TXN-COM-6,Change of mailing address,rejected,2018-05-07
COM-7,PLY-2,TXN-COM-7,Online portal not working,resolved,2015-03-15
COM-8,PLY-2,TXN-COM-8,Online portal not working,resolved,2017-05-30
COM-9,PLY-2,TXN-COM-9,Change of mailing address,resolved,2016-03-04
COM-10,PLY-2,TXN-COM-10,Change of contact number,rejected,2016-12-22
COM-11,PLY-3,TXN-COM-11,Portal stuck in middle,resolved,2016-09-12
COM-12,PLY-3,TXN-COM-12,Portal stuck in middle,resolved,2018-10-03
COM-13,PLY-3,TXN-COM-13,Online portal not working,resolved,2015-12-25
COM-14,PLY-4,TXN-COM-14,Portal stuck in middle,resolved,2015-02-13
COM-15,PLY-4,TXN-COM-15,Change of contact number,rejected,2017-01-03
COM-16,PLY-4,TXN-COM-16,Change of mailing address,resolved,2015-10-15
COM-17,PLY-4,TXN-COM-17,Change of mailing address,resolved,2018-11-21
COM-18,PLY-4,TXN-COM-18,Portal stuck in middle,resolved,2017-07-23
COM-19,PLY-5,TXN-COM-19,Online portal not working,resolved,2016-09-20
COM-20,PLY-5,TXN-COM-20,Renewal intimation letter not received,resolved,2016-01-27
COM-21,PLY-5,TXN-COM-21,Online portal not working,resolved,2018-05-10
COM-22,PLY-6,TXN-COM-22,Renewal intimation letter not received,resolved,2015-11-17
COM-23,PLY-6,TXN-COM-23,Portal stuck in middle,rejected,2018-12-28
COM-24,PLY-6,TXN-COM-24,Portal stuck in middle,resolved,2017-01-24
COM-25,PLY-6,TXN-COM-25,Change of mailing address,resolved,2016-09-19
COM-26,PLY-6,TXN-COM-26,Renewal intimation letter not received,resolved,2017-07-30
COM-27,PLY-7,TXN-COM-27,Change of mailing address,resolved,2016-11-10
COM-28,PLY-7,TXN-COM-28,Renewal intimation letter not received,resolved,2017-04-28
COM-29,PLY-7,TXN-COM-29,Change of mailing address,rejected,2018-06-05
COM-30,PLY-8,TXN-COM-30,Portal stuck in middle,resolved,2018-02-10
COM-31,PLY-8,TXN-COM-31,Renewal intimation letter not received,resolved,2016-04-21
COM-32,PLY-8,TXN-COM-32,Online portal not working,resolved,2018-05-19
COM-33,PLY-8,TXN-COM-33,Change of contact number,resolved,2016-02-02
COM-34,PLY-8,TXN-COM-34,Online portal not working,resolved,2018-12-26
COM-35,PLY-9,TXN-COM-35,Online portal not working,resolved,2016-10-29
COM-36,PLY-9,TXN-COM-36,Change of mailing address,rejected,2018-09-14
COM-37,PLY-9,TXN-COM-37,Change of mailing address,resolved,2016-08-01
COM-38,PLY-10,TXN-COM-38,Portal stuck in middle,resolved,2016-11-28
COM-39,PLY-10,TXN-COM-39,Portal stuck in middle,rejected,2016-07-09
COM-40,PLY-10,TXN-COM-40,Change of mailing address,resolved,2015-10-24
COM-41,PLY-10,TXN-COM-41,Change of contact number,resolved,2018-01-04
COM-42,PLY-10,TXN-COM-42,Change of contact number,resolved,2015-03-29
COM-43,PLY-11,TXN-COM-43,Portal access,resolved,2018-06-21
COM-44,PLY-11,TXN-COM-44,Online portal not working,resolved,2015-01-30
COM-45,PLY-11,TXN-COM-45,Renewal intimation letter not received,resolved,2017-11-24
COM-46,PLY-12,TXN-COM-46,Change of contact number,resolved,2016-03-04
COM-47,PLY-12,TXN-COM-47,Online portal not working,resolved,2015-05-27
COM-48,PLY-12,TXN-COM-48,Portal stuck in middle,resolved,2015-08-05
COM-49,PLY-12,TXN-COM-49,Change of contact number,resolved,2015-10-13
COM-50,PLY-12,TXN-COM-50,Change of contact number,resolved,2017-12-14
COM-51,PLY-13,TXN-COM-51,Change of mailing address,resolved,2015-02-08
COM-52,PLY-13,TXN-COM-52,Online portal not working,resolved,2016-10-08
COM-53,PLY-13,TXN-COM-53,Renewal intimation letter not received,resolved,2016-05-12
COM-54,PLY-14,TXN-COM-54,Portal stuck in middle,rejected,2018-12-22
COM-55,PLY-14,TXN-COM-55,Online portal not working,resolved,2018-10-23
COM-56,PLY-14,TXN-COM-56,Portal access,rejected,2018-05-29
COM-57,PLY-14,TXN-COM-57,Online portal not working,resolved,2016-12-10
COM-58,PLY-14,TXN-COM-58,Portal stuck in middle,resolved,2016-10-14
COM-59,PLY-15,TXN-COM-59,Portal access,resolved,2015-03-02
COM-60,PLY-15,TXN-COM-60,Change of mailing address,resolved,2017-02-23
COM-61,PLY-15,TXN-COM-61,Portal stuck in middle,resolved,2015-10-23
COM-62,PLY-16,TXN-COM-62,Portal stuck in middle,resolved,2015-01-23
COM-63,PLY-16,TXN-COM-63,Change of contact number,rejected,2018-10-21
COM-64,PLY-16,TXN-COM-64,Renewal intimation letter not received,resolved,2015-01-23
COM-65,PLY-16,TXN-COM-65,Change of mailing address,resolved,2018-06-02
COM-66,PLY-16,TXN-COM-66,Renewal intimation letter not received,resolved,2016-01-31
COM-67,PLY-17,TXN-COM-67,Change of contact number,resolved,2017-04-01
COM-68,PLY-17,TXN-COM-68,Online portal not working,resolved,2017-09-12
COM-69,PLY-17,TXN-COM-69,Change of mailing address,resolved,2018-08-18
COM-70,PLY-18,TXN-COM-70,Renewal intimation letter not received,resolved,2018-07-10
COM-71,PLY-18,TXN-COM-71,Portal stuck in middle,resolved,2015-12-29
COM-72,PLY-18,TXN-COM-72,Change of mailing address,resolved,2015-10-04
COM-73,PLY-18,TXN-COM-73,Portal access,rejected,2017-09-14
COM-74,PLY-18,TXN-COM-74,Portal access,resolved,2017-10-27
COM-75,PLY-19,TXN-COM-75,Change of contact number,rejected,2017-06-27
COM-76,PLY-19,TXN-COM-76,Change of mailing address,resolved,2016-09-01
COM-77,PLY-19,TXN-COM-77,Portal stuck in middle,resolved,2015-12-11
COM-78,PLY-20,TXN-COM-78,Portal stuck in middle,resolved,2017-02-17
COM-79,PLY-20,TXN-COM-79,Online portal not working,resolved,2018-01-29
COM-80,PLY-20,TXN-COM-80,Online portal not working,rejected,2015-06-16
