policyid,customerid,premium,avgclaimamount,tenure,date
PLY-1,01,3646,296394,5,2015-06-15
PLY-2,01,4073,499716,5,2018-05-01
PLY-3,01,4270,430842,5,2016-03-14
PLY-4,01,3643,444735,5,2016-07-31
PLY-5,02,3411,250033,5,2017-01-17
PLY-6,02,4311,470935,5,2016-11-09
PLY-7,02,4337,383481,5,2016-09-17
PLY-8,03,4198,390770,5,2017-10-03
PLY-9,03,3830,456045,5,2016-12-27
PLY-10,03,2489,349102,5,2015-11-28
PLY-11,04,4482,342536,5,2017-02-23
PLY-12,04,3324,331878,5,2017-08-16
PLY-13,04,2571,338225,5,2015-10-19
PLY-14,05,2315,389511,5,2016-11-22
PLY-15,05,3336,488727,5,2016-02-03
PLY-16,05,4664,413941,5,2015-12-29
PLY-17,06,4940,466331,5,2015-02-08
PLY-18,06,2043,308483,5,2016-10-21
PLY-19,06,2219,452115,5,2017-11-25
PLY-20,07,3262,316855,5,2016-05-21
PLY-21,07,4140,325130,5,2017-03-28
PLY-22,07,4091,470774,5,2016-06-21
PLY-23,08,4202,385230,5,2015-02-06
PLY-24,08,4385,492599,5,2015-04-21
PLY-25,08,2389,259566,5,2017-12-14
PLY-26,09,4951,308171,5,2015-01-18
PLY-27,09,2724,497968,5,2017-05-07
PLY-28,09,2634,385589,5,2017-12-12
PLY-29,010,4579,254049,5,2017-06-16
PLY-30,010,2639,332410,5,2016-10-13
PLY-31,010,3555,291150,5,2017-11-19
PLY-32,011,4693,251822,5,2017-02-21
PLY-33,011,3942,293523,5,2016-10-10
PLY-34,011,4900,445420,5,2017-03-12
PLY-35,012,3964,407267,5,2015-08-20
PLY-36,012,2217,459450,5,2017-01-09
PLY-37,012,3854,265931,5,2017-06-21
PLY-38,013,4035,438976,5,2017-01-02
PLY-39,013,2712,433493,5,2018-11-30
PLY-40,013,4487,339184,5,2018-03-06
PLY-41,014,4344,379514,5,2017-01-31
PLY-42,014,4257,284146,5,2018-06-24
PLY-43,014,2479,400117,5,2016-08-07
PLY-44,015,2022,279829,5,2015-07-26
PLY-45,015,4557,254002,5,2017-02-18
PLY-46,015,3336,316619,5,2016-12-28
PLY-47,016,3188,387252,5,2016-11-18
PLY-48,016,2837,458869,5,2016-11-19
PLY-49,016,3154,279860,5,2016-08-15
PLY-50,017,2802,307160,5,2017-08-15
PLY-51,017,3033,495569,5,2016-03-24
PLY-52,017,3530,394937,5,2018-04-26
PLY-53,018,4756,270713,5,2017-11-15
PLY-54,018,2735,319666,5,2018-08-22
PLY-55,018,3417,337124,5,2018-08-23
PLY-56,019,2591,394057,5,2015-04-01
PLY-57,019,4963,300411,5,2017-05-22
PLY-58,019,2292,255686,5,2015-08-07
PLY-59,020,3912,437556,5,2016-02-27
PLY-60,020,4812,259947,5,2017-06-15
PLY-61,020,4896,275667,5,2018-09-12
PLY-62,021,2248,362371,5,2015-08-01
PLY-63,021,2427,370800,5,2017-03-16
PLY-64,021,3434,454274,5,2017-02-20
PLY-65,022,3685,473165,5,2016-07-20
PLY-66,022,3716,253983,5,2018-01-19
PLY-67,022,4285,451015,5,2018-07-22
PLY-68,023,3732,294191,5,2016-08-30
PLY-69,023,3439,474170,5,2015-01-28
PLY-70,023,4950,354176,5,2017-08-17
PLY-71,024,3819,424123,5,2018-04-27
PLY-72,024,3258,475114,5,2015-09-11
PLY-73,024,3497,483361,5,2018-05-14
PLY-74,025,2933,391842,5,2018-08-07
PLY-75,025,3870,294857,5,2016-10-25
PLY-76,025,2688,260332,5,2017-11-01
PLY-77,026,3451,400763,5,2016-11-18
PLY-78,026,2260,255384,5,2017-03-05
PLY-79,026,3314,304799,5,2018-11-28
PLY-80,027,2031,363837,5,2015-02-01
PLY-81,027,4741,322575,5,2015-10-19
PLY-82,027,2623,306375,5,2018-01-03
PLY-83,028,2146,408427,5,2016-08-03
PLY-84,028,4774,352160,5,2016-11-15
PLY-85,028,2812,373296,5,2016-05-03
PLY-86,029,2458,417001,5,2015-11-11
PLY-87,029,4226,448365,5,2018-05-06
PLY-88,029,2397,274013,5,2016-05-01
PLY-89,030,4617,308952,5,2018-01-22
PLY-90,030,3955,438106,5,2016-02-07
PLY-91,030,4594,390916,5,2018-02-15
PLY-92,031,2361,463978,5,2018-05-27
PLY-93,031,3250,400632,5,2018-04-27
PLY-94,031,4433,430587,5,2018-07-23
PLY-95,032,3683,402316,5,2016-10-05
PLY-96,032,4576,435255,5,2017-07-07
PLY-97,032,3333,488297,5,2016-07-11
PLY-98,033,4999,387548,5,2015-09-23
PLY-99,033,2863,399650,5,2016-12-02
PLY-100,033,2148,344558,5,2017-11-27
PLY-101,034,2065,377473,5,2016-08-03
PLY-102,034,2157,396471,5,2018-05-26
PLY-103,034,2353,395965,5,2018-04-26
PLY-104,035,2700,489187,5,2018-06-21
PLY-105,035,4393,492671,5,2017-02-25
PLY-106,035,4496,270318,5,2018-02-21
PLY-107,036,3597,459154,5,2015-12-12
PLY-108,036,2894,382574,5,2016-11-11
PLY-109,036,2164,267886,5,2015-10-29
PLY-110,037,3496,439972,5,2018-06-21
PLY-111,037,4578,466461,5,2017-04-24
PLY-112,037,3821,398325,5,2016-04-21
PLY-113,038,4914,447270,5,2018-08-13
PLY-114,038,2947,454145,5,2016-04-03
PLY-115,038,3533,375940,5,2018-03-27
PLY-116,039,3132,490812,5,2017-12-02
PLY-117,039,2829,438056,5,2017-05-28
PLY-118,039,3010,465787,5,2018-08-29
PLY-119,040,4026,379502,5,2017-02-25
PLY-120,040,4507,256304,5,2017-05-07
PLY-121,040,4465,351017,5,2015-11-12
PLY-122,041,4794,256718,5,2015-06-15
PLY-123,041,2507,357507,5,2015-02-06
PLY-124,041,4343,445091,5,2016-07-28
PLY-125,042,4767,304826,5,2018-09-24
PLY-126,042,4573,450369,5,2016-10-21
PLY-127,042,3809,382537,5,2016-01-16
PLY-128,043,4343,324858,5,2016-03-26
PLY-129,043,4297,263266,5,2016-07-23
PLY-130,043,3845,275935,5,2016-09-24
PLY-131,044,2912,386917,5,2017-08-18
PLY-132,044,3204,318890,5,2017-04-06
PLY-133,044,3406,336537,5,2017-03-17
PLY-134,045,4245,285907,5,2018-01-19
PLY-135,045,4189,446503,5,2017-04-01
PLY-136,045,4935,320886,5,2016-02-24
PLY-137,046,4003,283362,5,2018-04-23
PLY-138,046,2570,340254,5,2015-02-24
PLY-139,046,2671,250481,5,2015-08-25
PLY-140,047,2224,383577,5,2018-02-27
PLY-141,047,2021,334399,5,2017-08-22
PLY-142,047,3627,495143,5,2016-08-06
PLY-143,048,4823,496396,5,2015-04-01
PLY-144,048,2617,269157,5,2017-10-30
PLY-145,048,4906,443216,5,2017-02-02
PLY-146,049,2642,377583,5,2016-08-20
PLY-147,049,3929,375217,5,2018-03-26
PLY-148,049,4949,377380,5,2017-03-07
PLY-149,050,2667,337900,5,2016-07-22
PLY-150,050,3275,396512,5,2015-04-03
PLY-151,050,3628,410244,5,2016-05-18
PLY-152,051,2102,470335,5,2018-02-16
PLY-153,051,4052,315236,5,2017-10-23
PLY-154,051,3658,430744,5,2018-06-27
PLY-155,052,4830,302998,5,2016-03-22
PLY-156,052,4792,442515,5,2015-05-20
PLY-157,052,2373,395558,5,2016-01-12
PLY-158,053,4400,304410,5,2017-03-23
PLY-159,053,4197,318097,5,2018-01-18
PLY-160,053,4377,331581,5,2016-12-14
PLY-161,054,3145,410900,5,2018-05-26
PLY-162,054,3776,488559,5,2016-12-30
PLY-163,054,2584,459320,5,2018-10-23
PLY-164,055,4184,469448,5,2017-11-10
PLY-165,055,3959,341998,5,2015-04-23
PLY-166,055,4386,310245,5,2015-03-06
PLY-167,056,3791,304416,5,2017-05-18
PLY-168,056,2421,270186,5,2015-12-17
PLY-169,056,2876,344546,5,2015-06-06
PLY-170,057,2852,322977,5,2015-12-29
PLY-171,057,4184,420528,5,2016-02-27
PLY-172,057,2406,350538,5,2015-02-21
PLY-173,058,2147,466622,5,2018-11-27
PLY-174,058,4060,453220,5,2018-07-31
PLY-175,058,3981,386143,5,2017-08-03
PLY-176,059,4510,317138,5,2016-05-11
PLY-177,059,3702,348162,5,2016-10-22
PLY-178,059,2374,305984,5,2015-08-21
PLY-179,060,4376,347272,5,2018-09-03
PLY-180,060,2524,368346,5,2018-09-14
PLY-181,060,4741,469454,5,2018-11-20
PLY-182,061,3808,269238,5,2018-08-27
PLY-183,061,4331,344455,5,2018-02-12
PLY-184,061,4285,396550,5,2015-10-05
PLY-185,062,2746,430184,5,2018-08-16
PLY-186,062,4580,482269,5,2016-10-23
PLY-187,062,2836,404756,5,2018-10-06
PLY-188,063,2462,256960,5,2017-03-13
PLY-189,063,4479,324025,5,2016-04-30
PLY-190,063,3072,470357,5,2018-06-25
PLY-191,064,4780,270768,5,2015-10-15
PLY-192,064,2581,343861,5,2017-09-24
PLY-193,064,2696,318627,5,2016-06-17
PLY-194,065,4156,295733,5,2015-10-27
PLY-195,065,4486,364366,5,2018-06-23
PLY-196,065,3824,379880,5,2018-07-29
PLY-197,066,3905,414601,5,2018-12-30
PLY-198,066,2334,332188,5,2016-04-12
PLY-199,066,4296,360035,5,2018-08-04
PLY-200,067,2040,354046,5,2017-03-06
PLY-201,067,4480,275261,5,2016-12-06
PLY-202,067,3705,398594,5,2015-12-11
PLY-203,068,2100,461847,5,2018-10-05
PLY-204,068,4130,364628,5,2018-09-12
PLY-205,068,4046,281945,5,2017-09-22
PLY-206,069,4227,499664,5,2016-11-05
PLY-207,069,2911,401311,5,2015-09-28
PLY-208,069,2304,267029,5,2015-02-08
PLY-209,070,4581,336474,5,2016-08-12
PLY-210,070,2146,432218,5,2016-12-18
PLY-211,070,2308,486680,5,2018-09-10
PLY-212,071,2896,338742,5,2015-02-20
PLY-213,071,4973,379442,5,2017-03-20
PLY-214,071,3135,411290,5,2017-07-26
PLY-215,072,3917,404963,5,2017-04-15
PLY-216,072,2307,307231,5,2017-04-21
PLY-217,072,4902,345941,5,2017-04-22
PLY-218,073,3171,425998,5,2018-07-18
PLY-219,073,3163,324955,5,2018-09-26
PLY-220,073,4474,280224,5,2015-06-06
PLY-221,074,4886,255555,5,2016-08-31
PLY-222,074,3374,350168,5,2017-11-13
PLY-223,074,4835,359059,5,2016-08-15
PLY-224,075,3592,347972,5,2015-07-04
PLY-225,075,4307,480309,5,2015-09-05
PLY-226,075,2854,267933,5,2018-11-01
PLY-227,076,3928,364845,5,2015-06-12
PLY-228,076,4964,267332,5,2018-11-14
PLY-229,076,3837,283828,5,2016-04-08
PLY-230,077,2272,439359,5,2016-11-21
PLY-231,077,4129,385110,5,2016-05-02
PLY-232,077,4191,268901,5,2017-08-04
PLY-233,078,4449,253093,5,2015-12-19
PLY-234,078,2855,312905,5,2016-11-23
PLY-235,078,2021,374649,5,2018-08-25
PLY-236,079,4922,284320,5,2015-05-17
PLY-237,079,3745,448161,5,2018-02-11
PLY-238,079,3442,397579,5,2017-12-09
PLY-239,080,3927,492630,5,2018-06-03
PLY-240,080,3039,494140,5,2017-08-25
PLY-241,080,2137,479436,5,2015-12-20
